,start_time,end_time,sensor_id,no_of_cars,start_date,time
60,2018-09-21 05:00:00,2018-09-21 05:05:00,SENSITY-kc-14,6.0,2018-09-21,05:00:00
61,2018-09-21 05:05:00,2018-09-21 05:10:00,SENSITY-kc-14,6.0,2018-09-21,05:05:00
62,2018-09-21 05:10:00,2018-09-21 05:15:00,SENSITY-kc-14,6.0,2018-09-21,05:10:00
63,2018-09-21 05:15:00,2018-09-21 05:20:00,SENSITY-kc-14,6.0,2018-09-21,05:15:00
64,2018-09-21 05:20:00,2018-09-21 05:25:00,SENSITY-kc-14,6.0,2018-09-21,05:20:00
65,2018-09-21 05:25:00,2018-09-21 05:30:00,SENSITY-kc-14,6.0,2018-09-21,05:25:00
66,2018-09-21 05:30:00,2018-09-21 05:35:00,SENSITY-kc-14,7.0,2018-09-21,05:30:00
67,2018-09-21 05:35:00,2018-09-21 05:40:00,SENSITY-kc-14,7.0,2018-09-21,05:35:00
68,2018-09-21 05:40:00,2018-09-21 05:45:00,SENSITY-kc-14,7.0,2018-09-21,05:40:00
69,2018-09-21 05:45:00,2018-09-21 05:50:00,SENSITY-kc-14,7.0,2018-09-21,05:45:00
70,2018-09-21 05:50:00,2018-09-21 05:55:00,SENSITY-kc-14,7.0,2018-09-21,05:50:00
71,2018-09-21 05:55:00,2018-09-21 06:00:00,SENSITY-kc-14,7.0,2018-09-21,05:55:00
72,2018-09-21 06:00:00,2018-09-21 06:05:00,SENSITY-kc-14,7.0,2018-09-21,06:00:00
73,2018-09-21 06:05:00,2018-09-21 06:10:00,SENSITY-kc-14,7.0,2018-09-21,06:05:00
74,2018-09-21 06:10:00,2018-09-21 06:15:00,SENSITY-kc-14,7.0,2018-09-21,06:10:00
75,2018-09-21 06:15:00,2018-09-21 06:20:00,SENSITY-kc-14,7.0,2018-09-21,06:15:00
76,2018-09-21 06:20:00,2018-09-21 06:25:00,SENSITY-kc-14,8.0,2018-09-21,06:20:00
77,2018-09-21 06:25:00,2018-09-21 06:30:00,SENSITY-kc-14,8.0,2018-09-21,06:25:00
78,2018-09-21 06:30:00,2018-09-21 06:35:00,SENSITY-kc-14,8.0,2018-09-21,06:30:00
79,2018-09-21 06:35:00,2018-09-21 06:40:00,SENSITY-kc-14,8.0,2018-09-21,06:35:00
80,2018-09-21 06:40:00,2018-09-21 06:45:00,SENSITY-kc-14,8.0,2018-09-21,06:40:00
81,2018-09-21 06:45:00,2018-09-21 06:50:00,SENSITY-kc-14,8.0,2018-09-21,06:45:00
82,2018-09-21 06:50:00,2018-09-21 06:55:00,SENSITY-kc-14,8.0,2018-09-21,06:50:00
83,2018-09-21 06:55:00,2018-09-21 07:00:00,SENSITY-kc-14,8.0,2018-09-21,06:55:00
84,2018-09-21 07:00:00,2018-09-21 07:05:00,SENSITY-kc-14,8.0,2018-09-21,07:00:00
85,2018-09-21 07:05:00,2018-09-21 07:10:00,SENSITY-kc-14,8.0,2018-09-21,07:05:00
86,2018-09-21 07:10:00,2018-09-21 07:15:00,SENSITY-kc-14,8.0,2018-09-21,07:10:00
87,2018-09-21 07:15:00,2018-09-21 07:20:00,SENSITY-kc-14,8.0,2018-09-21,07:15:00
88,2018-09-21 07:20:00,2018-09-21 07:25:00,SENSITY-kc-14,8.0,2018-09-21,07:20:00
89,2018-09-21 07:25:00,2018-09-21 07:30:00,SENSITY-kc-14,8.0,2018-09-21,07:25:00
90,2018-09-21 07:30:00,2018-09-21 07:35:00,SENSITY-kc-14,8.0,2018-09-21,07:30:00
91,2018-09-21 07:35:00,2018-09-21 07:40:00,SENSITY-kc-14,8.0,2018-09-21,07:35:00
92,2018-09-21 07:40:00,2018-09-21 07:45:00,SENSITY-kc-14,8.0,2018-09-21,07:40:00
93,2018-09-21 07:45:00,2018-09-21 07:50:00,SENSITY-kc-14,8.0,2018-09-21,07:45:00
94,2018-09-21 07:50:00,2018-09-21 07:55:00,SENSITY-kc-14,8.0,2018-09-21,07:50:00
95,2018-09-21 07:55:00,2018-09-21 08:00:00,SENSITY-kc-14,8.0,2018-09-21,07:55:00
96,2018-09-21 08:00:00,2018-09-21 08:05:00,SENSITY-kc-14,8.0,2018-09-21,08:00:00
97,2018-09-21 08:05:00,2018-09-21 08:10:00,SENSITY-kc-14,8.0,2018-09-21,08:05:00
98,2018-09-21 08:10:00,2018-09-21 08:15:00,SENSITY-kc-14,8.0,2018-09-21,08:10:00
99,2018-09-21 08:15:00,2018-09-21 08:20:00,SENSITY-kc-14,8.0,2018-09-21,08:15:00
100,2018-09-21 08:20:00,2018-09-21 08:25:00,SENSITY-kc-14,8.0,2018-09-21,08:20:00
101,2018-09-21 08:25:00,2018-09-21 08:30:00,SENSITY-kc-14,8.0,2018-09-21,08:25:00
102,2018-09-21 08:30:00,2018-09-21 08:35:00,SENSITY-kc-14,8.0,2018-09-21,08:30:00
103,2018-09-21 08:35:00,2018-09-21 08:40:00,SENSITY-kc-14,8.0,2018-09-21,08:35:00
104,2018-09-21 08:40:00,2018-09-21 08:45:00,SENSITY-kc-14,8.0,2018-09-21,08:40:00
105,2018-09-21 08:45:00,2018-09-21 08:50:00,SENSITY-kc-14,8.0,2018-09-21,08:45:00
106,2018-09-21 08:50:00,2018-09-21 08:55:00,SENSITY-kc-14,8.0,2018-09-21,08:50:00
107,2018-09-21 08:55:00,2018-09-21 09:00:00,SENSITY-kc-14,7.0,2018-09-21,08:55:00
108,2018-09-21 09:00:00,2018-09-21 09:05:00,SENSITY-kc-14,7.0,2018-09-21,09:00:00
109,2018-09-21 09:05:00,2018-09-21 09:10:00,SENSITY-kc-14,7.0,2018-09-21,09:05:00
110,2018-09-21 09:10:00,2018-09-21 09:15:00,SENSITY-kc-14,7.0,2018-09-21,09:10:00
111,2018-09-21 09:15:00,2018-09-21 09:20:00,SENSITY-kc-14,7.0,2018-09-21,09:15:00
112,2018-09-21 09:20:00,2018-09-21 09:25:00,SENSITY-kc-14,7.0,2018-09-21,09:20:00
113,2018-09-21 09:25:00,2018-09-21 09:30:00,SENSITY-kc-14,6.0,2018-09-21,09:25:00
114,2018-09-21 09:30:00,2018-09-21 09:35:00,SENSITY-kc-14,6.0,2018-09-21,09:30:00
115,2018-09-21 09:35:00,2018-09-21 09:40:00,SENSITY-kc-14,6.0,2018-09-21,09:35:00
116,2018-09-21 09:40:00,2018-09-21 09:45:00,SENSITY-kc-14,6.0,2018-09-21,09:40:00
117,2018-09-21 09:45:00,2018-09-21 09:50:00,SENSITY-kc-14,6.0,2018-09-21,09:45:00
118,2018-09-21 09:50:00,2018-09-21 09:55:00,SENSITY-kc-14,6.0,2018-09-21,09:50:00
119,2018-09-21 09:55:00,2018-09-21 10:00:00,SENSITY-kc-14,6.0,2018-09-21,09:55:00
120,2018-09-21 10:00:00,2018-09-21 10:05:00,SENSITY-kc-14,6.0,2018-09-21,10:00:00
121,2018-09-21 10:05:00,2018-09-21 10:10:00,SENSITY-kc-14,6.0,2018-09-21,10:05:00
122,2018-09-21 10:10:00,2018-09-21 10:15:00,SENSITY-kc-14,6.0,2018-09-21,10:10:00
123,2018-09-21 10:15:00,2018-09-21 10:20:00,SENSITY-kc-14,6.0,2018-09-21,10:15:00
124,2018-09-21 10:20:00,2018-09-21 10:25:00,SENSITY-kc-14,6.0,2018-09-21,10:20:00
125,2018-09-21 10:25:00,2018-09-21 10:30:00,SENSITY-kc-14,6.0,2018-09-21,10:25:00
126,2018-09-21 10:30:00,2018-09-21 10:35:00,SENSITY-kc-14,5.0,2018-09-21,10:30:00
